Proposal Number,Project number,Account Name,Opportunity Name,Confidence,Stage,Probability (%),Close Date,Carnet Assignment,Date of Carnet Assignment,Durée du Projet (Nb. de semaines),Nb. Hrs. Atelier (Sans Contingence),Nb. Hrs. Élec. (Sans Contingence,Nb. Hrs. Gestion,Nb. Hrs. Logiciel (Sans Contingence),Nb. Hrs. Mec. (Sans Contingence),Nb. Hrs. Procédé (Sans Contingence),Nb. Hrs. RC (Sans Contingence),Nb. Hrs. Robot (Sans Contingence),Main Process Type,Secondary Process Type,Third Process Type,SharePoint
5322,,Koyo Bearings,Services,100% Closed Won,Closed Won,100,25/01/2018,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05322&v=search"" target=""_blank"">SharePoint Reference</a>"
5363,,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,25/01/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05363&v=search"" target=""_blank"">SharePoint Reference</a>"
5358,C-04940,Pratt & Whitney Canada Longueuil,Spare Parts,100% Closed Won,Closed Won,100,25/01/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05358&v=search"" target=""_blank"">SharePoint Reference</a>"
5362,,GEA Hooksett,Spare Parts,100% Closed Won,Closed Won,100,31/01/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05362&v=search"" target=""_blank"">SharePoint Reference</a>"
5361,,Airfoil Services Sdn. Bhd. (ASSB),Spare Parts,100% Closed Won,Closed Won,100,1/2/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05361&v=search"" target=""_blank"">SharePoint Reference</a>"
5326,C-04835,Pratt & Whitney AutoAir - Lansing,Support,100% Closed Won,Closed Won,100,2/2/2018,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05326&v=search"" target=""_blank"">SharePoint Reference</a>"
5381,,BWXT Nuclear Energy Canada Inc.,Calibration procedure upgrades,100% Closed Won,Closed Won,100,2/2/2018,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05381&v=search"" target=""_blank"">SharePoint Reference</a>"
5379,,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,2/2/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05379&v=search"" target=""_blank"">SharePoint Reference</a>"
5345,,GEA Bromont,Spare Parts,100% Closed Won,Closed Won,100,6/2/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05345&v=search"" target=""_blank"">SharePoint Reference</a>"
5383,,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,7/2/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05383&v=search"" target=""_blank"">SharePoint Reference</a>"
5382,,Pratt & Whitney (PCI) - Columbus,Spare Parts,100% Closed Won,Closed Won,100,8/2/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05382&v=search"" target=""_blank"">SharePoint Reference</a>"
5378,,E2V Semiconductors,Spare Parts,100% Closed Won,Closed Won,100,9/2/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05378&v=search"" target=""_blank"">SharePoint Reference</a>"
5391,,Vishay Micro-electronics (Xi-an),Spare Parts,100% Closed Won,Closed Won,100,12/2/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05391&v=search"" target=""_blank"">SharePoint Reference</a>"
5228,,Lisi (Marmande),Contrat de Maintenance,100% Closed Won,Closed Won,100,12/2/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05228&v=search"" target=""_blank"">SharePoint Reference</a>"
5105,,GEA Hooksett,Support contract,100% Closed Won,Closed Won,100,16/02/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05105&v=search"" target=""_blank"">SharePoint Reference</a>"
5254,,TruckPro,Support bank,100% Closed Won,Closed Won,100,16/02/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05254&v=search"" target=""_blank"">SharePoint Reference</a>"
5264,,BTL (Blades Technology Ltd),Class F Inspection Software Modification and Inkjet Printer Retrofit,100% Closed Won,Closed Won,100,20/02/2018,90% Verbal Agreement ou R.O.I. validé par DODE,,,,30,,354,46,8,205,94,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05264&v=search"" target=""_blank"">SharePoint Reference</a>"
5282,,GEA Hooksett,Parts integration into Rolling mills,100% Closed Won,Closed Won,100,21/02/2018,,,,,,,,,,80,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05282&v=search"" target=""_blank"">SharePoint Reference</a>"
5398,,Monnaie Royale Canadienne,Spare Parts,100% Closed Won,Closed Won,100,28/02/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05398&v=search"" target=""_blank"">SharePoint Reference</a>"
5408,,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,1/3/2018,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05408&v=search"" target=""_blank"">SharePoint Reference</a>"
5224,,Pratt & Whitney Canada Longueuil,Service Projet WIN10,100% Closed Won,Closed Won,100,1/3/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05224&v=search"" target=""_blank"">SharePoint Reference</a>"
5402,,Wesco,Spare Parts,100% Closed Won,Closed Won,100,2/3/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05402&v=search"" target=""_blank"">SharePoint Reference</a>"
5411,,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,5/3/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05411&v=search"" target=""_blank"">SharePoint Reference</a>"
5410,,GEA Bromont,Service code modifications,100% Closed Won,Closed Won,100,6/3/2018,,,,,,,,,,,,Weld & A.M. Blending,Profiling,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05410&v=search"" target=""_blank"">SharePoint Reference</a>"
5366,,Turbine Jet,Support Contract,100% Closed Won,Closed Won,100,6/3/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05366&v=search"" target=""_blank"">SharePoint Reference</a>"
5413,,Wolseley Industrial Group,Spare Parts,100% Closed Won,Closed Won,100,7/3/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05413&v=search"" target=""_blank"">SharePoint Reference</a>"
5415,,Motion Industries Inc,Spare Parts,100% Closed Won,Closed Won,100,8/3/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05415&v=search"" target=""_blank"">SharePoint Reference</a>"
5409,,BWXT Nuclear Energy Canada Inc.,Service Support,100% Closed Won,Closed Won,100,12/3/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05409&v=search"" target=""_blank"">SharePoint Reference</a>"
5357,,Revision Military - Essex Junction,Support 2018,100% Closed Won,Closed Won,100,13/03/2018,,,,,,,,,,,,Custom Automation,Machine Vision & Custom AVI,Non-metalic Robotic Operation,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05357&v=search"" target=""_blank"">SharePoint Reference</a>"
5417,,Vishay Micro-electronics (Xi-an),Spare Parts,100% Closed Won,Closed Won,100,13/03/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05417&v=search"" target=""_blank"">SharePoint Reference</a>"
5390,,I-Buff Pneus Chartrand,Service,100% Closed Won,Closed Won,100,15/03/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05390&v=search"" target=""_blank"">SharePoint Reference</a>"
5423,,Lisi (Marmande),Spare Parts,100% Closed Won,Closed Won,100,16/03/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05423&v=search"" target=""_blank"">SharePoint Reference</a>"
5424,,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,16/03/2018,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05424&v=search"" target=""_blank"">SharePoint Reference</a>"
5422,,RDC Control,Support,100% Closed Won,Closed Won,100,20/03/2018,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05422&v=search"" target=""_blank"">SharePoint Reference</a>"
5404,,GEA Piedmont,3 days onsite training,100% Closed Won,Closed Won,100,21/03/2018,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05404&v=search"" target=""_blank"">SharePoint Reference</a>"
5431,,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,22/03/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05431&v=search"" target=""_blank"">SharePoint Reference</a>"
5420,,GKN Aerospace (Orangeburg),Onsite assistance,100% Closed Won,Closed Won,100,26/03/2018,,,,,,,,,,,,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05420&v=search"" target=""_blank"">SharePoint Reference</a>"
5434,,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,26/03/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05434&v=search"" target=""_blank"">SharePoint Reference</a>"
5433,,International Rectifier Hirel,Spare Parts,100% Closed Won,Closed Won,100,28/03/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05433&v=search"" target=""_blank"">SharePoint Reference</a>"
5439,,Lisi (Marmande),Spare parts,100% Closed Won,Closed Won,100,28/03/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05439&v=search"" target=""_blank"">SharePoint Reference</a>"
5425,,Pratt & Whitney Canada Lethbridge,Spare Parts,100% Closed Won,Closed Won,100,3/4/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05425&v=search"" target=""_blank"">SharePoint Reference</a>"
5443,,Pratt & Whitney (PCI) - Columbus,Spare Parts,100% Closed Won,Closed Won,100,3/4/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05443&v=search"" target=""_blank"">SharePoint Reference</a>"
5438,C-05205,Pratt & Whitney Canada Longueuil,C5205 DC02 Support robot prolongation,100% Closed Won,Closed Won,100,4/4/2018,,,,,,,,,,480,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05438&v=search"" target=""_blank"">SharePoint Reference</a>"
5327,,GEA Bromont,Spare Parts,100% Closed Won,Closed Won,100,5/4/2018,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05327&v=search"" target=""_blank"">SharePoint Reference</a>"
5447,C-05409,BWXT Nuclear Energy Canada Inc.,Service Support DC-01,100% Closed Won,Closed Won,100,5/4/2018,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05447&v=search"" target=""_blank"">SharePoint Reference</a>"
5407,,Pratt & Whitney Canada Longueuil,05407 - support,100% Closed Won,Closed Won,100,6/4/2018,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05407&v=search"" target=""_blank"">SharePoint Reference</a>"
5440,C-05181,Zodiac Aerospace (Kirkland),Service appels d-urgence,100% Closed Won,Closed Won,100,6/4/2018,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05440&v=search"" target=""_blank"">SharePoint Reference</a>"
5442,,International rectifiers,Spare parts,100% Closed Won,Closed Won,100,11/4/2018,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05442&v=search"" target=""_blank"">SharePoint Reference</a>"
5470,,Reliable Automatic Sprinkler,Spare Parts,100% Closed Won,Closed Won,100,18/04/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05470&v=search"" target=""_blank"">SharePoint Reference</a>"
5468,,Reliable Automatic Sprinkler,Spare Parts,100% Closed Won,Closed Won,100,18/04/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05468&v=search"" target=""_blank"">SharePoint Reference</a>"
5469,,Reliable Automatic Sprinkler,Spare Parts,100% Closed Won,Closed Won,100,18/04/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05469&v=search"" target=""_blank"">SharePoint Reference</a>"
5472,,Reliable Automatic Sprinkler,Spare Parts,100% Closed Won,Closed Won,100,18/04/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05472&v=search"" target=""_blank"">SharePoint Reference</a>"
5473,,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,18/04/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05473&v=search"" target=""_blank"">SharePoint Reference</a>"
5465,,Reliable Automatic Sprinkler,Spare Parts,100% Closed Won,Closed Won,100,18/04/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05465&v=search"" target=""_blank"">SharePoint Reference</a>"
5471,,Reliable Automatic Sprinkler,Spare Parts,100% Closed Won,Closed Won,100,18/04/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05471&v=search"" target=""_blank"">SharePoint Reference</a>"
5476,,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,20/04/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05476&v=search"" target=""_blank"">SharePoint Reference</a>"
5463,,Lisi (Marmande),Spare Parts,100% Closed Won,Closed Won,100,20/04/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05463&v=search"" target=""_blank"">SharePoint Reference</a>"
5466,,Safran Aircraft Engines (Gennevilliers),Spare parts 1ere urgence,100% Closed Won,Closed Won,100,24/04/2018,,,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05466&v=search"" target=""_blank"">SharePoint Reference</a>"
5467,C-05410,GEA Bromont,Service code modifications amendement DC01,100% Closed Won,Closed Won,100,4/5/2018,,,,,,,,,,,,Weld & A.M. Blending,Profiling,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05467&v=search"" target=""_blank"">SharePoint Reference</a>"
5336,,Turbine Jet,Handling pro training,100% Closed Won,Closed Won,100,7/5/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05336&v=search"" target=""_blank"">SharePoint Reference</a>"
5432,,Soucy Baron Inc.,Spare Parts,100% Closed Won,Closed Won,100,15/05/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05432&v=search"" target=""_blank"">SharePoint Reference</a>"
5494,,Reliable Automatic Sprinkler,Spare Parts,100% Closed Won,Closed Won,100,16/05/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05494&v=search"" target=""_blank"">SharePoint Reference</a>"
5505,C-04753,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,18/05/2018,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05505&v=search"" target=""_blank"">SharePoint Reference</a>"
5454,,Pratt & Whitney Canada Longueuil,Service 3D scan,100% Closed Won,Closed Won,100,24/05/2018,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05454&v=search"" target=""_blank"">SharePoint Reference</a>"
5453,,Fuji Electric Philippines,Spare Parts,100% Closed Won,Closed Won,100,25/05/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05453&v=search"" target=""_blank"">SharePoint Reference</a>"
5367,,Turbine Jet,Assatec Retrofit,100% Closed Won,Closed Won,100,29/05/2018,,,,,,,60,,,100,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05367&v=search"" target=""_blank"">SharePoint Reference</a>"
5514,,Wesco,Spare Parts,100% Closed Won,Closed Won,100,4/6/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05514&v=search"" target=""_blank"">SharePoint Reference</a>"
5529,,Reliable Automatic Sprinkler,Spare Parts,100% Closed Won,Closed Won,100,13/06/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05529&v=search"" target=""_blank"">SharePoint Reference</a>"
5019,,Turbine Jet,Tooling Retrofit on L-599 Hard Face Cell,100% Closed Won,Closed Won,100,14/06/2018,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05019&v=search"" target=""_blank"">SharePoint Reference</a>"
5506,,Pratt & Whitney AutoAir - Lansing,Support - Banque d-heures,100% Closed Won,Closed Won,100,15/06/2018,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05506&v=search"" target=""_blank"">SharePoint Reference</a>"
5526,,Revision Military - Essex Junction,Inspection system training,100% Closed Won,Closed Won,100,18/06/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05526&v=search"" target=""_blank"">SharePoint Reference</a>"
5532,,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,19/06/2018,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05532&v=search"" target=""_blank"">SharePoint Reference</a>"
5536,,Vishay Micro-electronics (Xi-an),Spare Parts,100% Closed Won,Closed Won,100,20/06/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05536&v=search"" target=""_blank"">SharePoint Reference</a>"
5537,,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,20/06/2018,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05537&v=search"" target=""_blank"">SharePoint Reference</a>"
5538,,Trimpot Electronicas,Spare parts,100% Closed Won,Closed Won,100,20/06/2018,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05538&v=search"" target=""_blank"">SharePoint Reference</a>"
5547,,Reliable Automatic Sprinkler,Spare parts,100% Closed Won,Closed Won,100,22/06/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05547&v=search"" target=""_blank"">SharePoint Reference</a>"
5546,C-5209,Airboss Engineering Products,Support,100% Closed Won,Closed Won,100,22/06/2018,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05546&v=search"" target=""_blank"">SharePoint Reference</a>"
5548,,International rectifiers,Spare parts,100% Closed Won,Closed Won,100,26/06/2018,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05548&v=search"" target=""_blank"">SharePoint Reference</a>"
5551,,International rectifiers,Spare parts,100% Closed Won,Closed Won,100,26/06/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05551&v=search"" target=""_blank"">SharePoint Reference</a>"
5549,,International rectifiers,Spare parts,100% Closed Won,Closed Won,100,26/06/2018,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05549&v=search"" target=""_blank"">SharePoint Reference</a>"
5552,,Reliable Automatic Sprinkler,Spare parts,100% Closed Won,Closed Won,100,27/06/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05552&v=search"" target=""_blank"">SharePoint Reference</a>"
5553,,Detour Gold,Spare Parts,100% Closed Won,Closed Won,100,29/06/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05553&v=search"" target=""_blank"">SharePoint Reference</a>"
5534,C-05205,Pratt & Whitney Canada Longueuil,C5205 DC03 Support robot prolongation,100% Closed Won,Closed Won,100,30/06/2018,,,,,,,,,,720,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05534&v=search"" target=""_blank"">SharePoint Reference</a>"
5554,,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,3/7/2018,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05554&v=search"" target=""_blank"">SharePoint Reference</a>"
5561,,E2V Semiconductors,Spare Parts,100% Closed Won,Closed Won,100,12/7/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05561&v=search"" target=""_blank"">SharePoint Reference</a>"
5565,,Reliable Automatic Sprinkler,Spare Parts ST54330,100% Closed Won,Closed Won,100,12/7/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05565&v=search"" target=""_blank"">SharePoint Reference</a>"
5566,,Reliable Automatic Sprinkler,Spare Parts ST54456,100% Closed Won,Closed Won,100,12/7/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05566&v=search"" target=""_blank"">SharePoint Reference</a>"
5574,,Reliable Automatic Sprinkler,Spare Parts ST54516,100% Closed Won,Closed Won,100,17/07/2018,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05574&v=search"" target=""_blank"">SharePoint Reference</a>"
5577,C-00176,I-Buff Pneus Chartrand,Spare Parts,100% Closed Won,Closed Won,100,19/07/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05577&v=search"" target=""_blank"">SharePoint Reference</a>"
5513,,Lisi (Marmande),Banque support,100% Closed Won,Closed Won,100,23/07/2018,,,,,,,,,,,,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05513&v=search"" target=""_blank"">SharePoint Reference</a>"
5564,,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,23/07/2018,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05564&v=search"" target=""_blank"">SharePoint Reference</a>"
5575,,MDA Corporation,Services - appel,100% Closed Won,Closed Won,100,24/07/2018,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05575&v=search"" target=""_blank"">SharePoint Reference</a>"
5428,,GEA Singapore (ATI),Spare Parts,100% Closed Won,Closed Won,100,24/07/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05428&v=search"" target=""_blank"">SharePoint Reference</a>"
5350,,Safran Aircraft Engines (Gennevilliers),Spare parts 2,100% Closed Won,Closed Won,100,31/07/2018,,,,,,,,,,,,Pin Blending,Cosmetic Polishing,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05350&v=search"" target=""_blank"">SharePoint Reference</a>"
5244,C-00312,Safran Aircraft Engines (Gennevilliers),Spare Parts 1,100% Closed Won,Closed Won,100,31/07/2018,,,,,,,,,,,,Pin Blending,Cosmetic Polishing,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05244&v=search"" target=""_blank"">SharePoint Reference</a>"
5590,C-04753,International rectifiers,Spare Parts - 5500097314,100% Closed Won,Closed Won,100,2/8/2018,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05590&v=search"" target=""_blank"">SharePoint Reference</a>"
5528,,Pratt & Whitney (PCI) - Columbus,Service - Étalonnage,100% Closed Won,Closed Won,100,6/8/2018,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05528&v=search"" target=""_blank"">SharePoint Reference</a>"
5600,C-04753,International rectifiers,SP 5500097759,100% Closed Won,Closed Won,100,9/8/2018,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05600&v=search"" target=""_blank"">SharePoint Reference</a>"
5556,,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,10/8/2018,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05556&v=search"" target=""_blank"">SharePoint Reference</a>"
5571,,Pratt & Whitney AutoAir - Lansing,05571 - Service - New coating area,100% Closed Won,Closed Won,100,20/08/2018,,,,,,,,,,,,Painting - LEGACY,Custom Automation,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05571&v=search"" target=""_blank"">SharePoint Reference</a>"
